host,verdict
aaronhicks.great-site.net,DEAD_no_account
aaronlaurens.is-great.net,ALIVE
aaronlogan.is-great.org,DEAD_no_account
aaronquong.great-site.net,DEAD_no_account
aaronrentoul.great-site.net,DEAD_no_account
aaronvondoussa.is-best.net,DEAD_no_account
aaryamoses.kesug.com,UNCERTAIN_throttled
aayanmyers.great-site.net,UNCERTAIN_throttled
abbeyhornibrook.is-best.net,ALIVE
abbeypierce.nichesite.org,DEAD_no_account
abbienolan.kesug.com,DEAD_no_account
abbynewton.lovestoblog.com,DEAD_no_account
abdielpaul.iblogger.org,DEAD_no_account
abdirarowe.is-best.net,DEAD_no_account
abdulhouston.great-site.net,DEAD_no_account
abdulkong.wuaze.com,DEAD_no_account
abelcarlos.great-site.net,ALIVE
abelfisher.is-best.net,DEAD_no_account
abelfowler.great-site.net,DEAD_no_account
abelinosolano.lovestoblog.com,DEAD_no_account
abigailedwards.kesug.com,DEAD_no_account
abigailfinley.lovestoblog.com,DEAD_no_account
abigailhawkins.iblogger.org,DEAD_no_account
abigayjohnson.is-best.net,UNCERTAIN_throttled
abrahamfloyd.is-great.net,DEAD_no_account
abrahamledesma.is-best.net,ALIVE
abrahamvaldez.is-great.org,DEAD_no_account
abrahamwilliams.is-great.org,DEAD_no_account
abutohaeingram.lovestoblog.com,DEAD_no_account
acenorris.wuaze.com,DEAD_no_account
acilialackner.lovestoblog.com,DEAD_no_account
acsnaborbala.is-great.net,DEAD_no_account
adadudley.iblogger.org,DEAD_no_account
adalberttrummer.is-great.net,DEAD_no_account
adalgallagher.kesug.com,DEAD_no_account
adalgisa.is-best.net,DEAD_no_account
adalyndickson.great-site.net,DEAD_no_account
adalynriley.lovestoblog.com,DEAD_no_account
adamblake.iblogger.org,DEAD_no_account
adamgordon.great-site.net,DEAD_no_account
adamhammond.iblogger.org,DEAD_no_account
adamjeffer.wuaze.com,DEAD_no_account
adampagelu.lovestoblog.com,DEAD_no_account
adamtolkamp.lovestoblog.com,DEAD_no_account
adamvis.great-site.net,DEAD_no_account
adamwoodward.is-best.net,DEAD_no_account
adanconley.is-great.net,DEAD_no_account
adanherring.is-best.net,DEAD_no_account
adanzava.is-great.net,DEAD_no_account
adapham.lovestoblog.com,DEAD_no_account
addiemcpherson.lovestoblog.com,DEAD_no_account
addilynmitchell.kesug.com,DEAD_no_account
